iter	Passed	Remaining
1682	8911	1678
1683	8916	1673
1684	8921	1667
1685	8926	1662
1686	8931	1657
1687	8936	1651
1688	8940	1646
1689	8945	1640
1690	8950	1635
1691	8955	1630
1692	8960	1624
1693	8965	1619
1694	8970	1614
1695	8975	1608
1696	8980	1603
1697	8984	1598
1698	8989	1592
1699	8994	1587
1700	8999	1581
1701	9004	1576
1702	9009	1571
1703	9014	1565
1704	9019	1560
1705	9024	1555
1706	9029	1549
1707	9034	1544
1708	9039	1539
1709	9044	1533
1710	9049	1528
1711	9054	1523
1712	9059	1517
1713	9064	1512
1714	9069	1507
1715	9074	1501
1716	9079	1496
1717	9084	1491
1718	9089	1485
1719	9094	1480
1720	9099	1475
1721	9104	1469
1722	9109	1464
1723	9114	1459
1724	9119	1453
1725	9124	1448
1726	9129	1443
1727	9134	1437
1728	9139	1432
1729	9144	1427
1730	9149	1421
1731	9154	1416
1732	9159	1411
1733	9164	1405
1734	9170	1400
1735	9174	1395
1736	9179	1389
1737	9184	1384
1738	9190	1379
1739	9195	1373
1740	9200	1368
1741	9205	1363
1742	9210	1358
1743	9215	1352
1744	9220	1347
1745	9225	1342
1746	9230	1336
1747	9235	1331
1748	9240	1326
1749	9245	1320
1750	9250	1315
1751	9255	1310
1752	9260	1304
1753	9265	1299
1754	9270	1294
1755	9275	1288
1756	9280	1283
1757	9286	1278
1758	9291	1272
1759	9296	1267
1760	9301	1262
1761	9306	1257
1762	9311	1251
1763	9316	1246
1764	9322	1241
1765	9327	1235
1766	9332	1230
1767	9337	1225
1768	9342	1220
1769	9348	1214
1770	9353	1209
1771	9358	1204
1772	9363	1198
1773	9368	1193
1774	9373	1188
1775	9379	1182
1776	9384	1177
1777	9389	1172
1778	9394	1167
1779	9400	1161
1780	9405	1156
1781	9410	1151
1782	9415	1145
1783	9420	1140
1784	9426	1135
1785	9431	1130
1786	9436	1124
1787	9441	1119
1788	9446	1114
1789	9451	1108
1790	9457	1103
1791	9462	1098
1792	9467	1093
1793	9472	1087
1794	9477	1082
1795	9483	1077
1796	9488	1071
1797	9493	1066
1798	9498	1061
1799	9504	1056
1800	9509	1050
1801	9514	1045
1802	9519	1040
1803	9524	1034
1804	9529	1029
1805	9534	1024
1806	9539	1018
1807	9544	1013
1808	9549	1008
1809	9554	1003
1810	9559	997
1811	9565	992
1812	9570	987
1813	9575	981
1814	9580	976
1815	9585	971
1816	9591	965
1817	9596	960
1818	9601	955
1819	9606	950
1820	9611	944
1821	9616	939
1822	9621	934
1823	9627	928
1824	9632	923
1825	9637	918
1826	9642	913
1827	9647	907
1828	9652	902
1829	9658	897
1830	9663	891
1831	9668	886
1832	9673	881
1833	9678	876
1834	9683	870
1835	9688	865
1836	9693	860
1837	9698	854
1838	9704	849
1839	9709	844
1840	9714	838
1841	9719	833
1842	9724	828
1843	9729	823
1844	9734	817
1845	9740	812
1846	9745	807
1847	9750	801
1848	9755	796
1849	9760	791
1850	9766	786
1851	9771	780
1852	9776	775
1853	9782	770
1854	9787	765
1855	9792	759
1856	9797	754
1857	9802	749
1858	9807	743
1859	9812	738
1860	9818	733
1861	9823	728
1862	9828	722
1863	9833	717
1864	9838	712
1865	9843	706
1866	9848	701
1867	9853	696
1868	9858	691
1869	9863	685
1870	9869	680
1871	9874	675
1872	9879	669
1873	9885	664
1874	9890	659
1875	9895	654
1876	9900	648
1877	9905	643
1878	9910	638
1879	9915	632
1880	9920	627
1881	9925	622
1882	9930	617
1883	9935	611
1884	9940	606
1885	9945	601
1886	9949	595
1887	9954	590
1888	9959	585
1889	9964	579
1890	9969	574
1891	9974	569
1892	9979	564
1893	9984	558
1894	9989	553
1895	9994	548
1896	9999	542
1897	10004	537
1898	10011	532
1899	10016	527
1900	10021	521
1901	10026	516
1902	10031	511
1903	10035	506
1904	10040	500
1905	10045	495
1906	10050	490
1907	10055	484
1908	10061	479
1909	10066	474
1910	10070	469
1911	10075	463
1912	10080	458
1913	10085	453
1914	10090	447
1915	10095	442
1916	10100	437
1917	10105	432
1918	10110	426
1919	10116	421
1920	10120	416
1921	10125	410
1922	10131	405
1923	10135	400
1924	10141	395
1925	10146	389
1926	10150	384
1927	10155	379
1928	10161	373
1929	10166	368
1930	10171	363
1931	10176	358
1932	10181	352
1933	10186	347
1934	10191	342
1935	10196	337
1936	10201	331
1937	10206	326
1938	10211	321
1939	10216	315
1940	10221	310
1941	10226	305
1942	10232	300
1943	10237	294
1944	10242	289
1945	10248	284
1946	10253	279
1947	10258	273
1948	10264	268
1949	10269	263
1950	10274	258
1951	10279	252
1952	10284	247
1953	10289	242
1954	10295	236
1955	10300	231
1956	10305	226
1957	10310	221
1958	10315	215
1959	10320	210
1960	10326	205
1961	10331	200
1962	10336	194
1963	10341	189
1964	10346	184
1965	10351	179
1966	10357	173
1967	10362	168
1968	10367	163
1969	10372	157
1970	10377	152
1971	10383	147
1972	10388	142
1973	10393	136
1974	10399	131
1975	10404	126
1976	10409	121
1977	10414	115
1978	10419	110
1979	10424	105
1980	10429	100
1981	10435	94
1982	10440	89
1983	10445	84
1984	10450	78
1985	10455	73
1986	10460	68
1987	10465	63
1988	10471	57
1989	10476	52
1990	10481	47
1991	10486	42
1992	10492	36
1993	10497	31
1994	10502	26
1995	10507	21
1996	10513	15
1997	10518	10
1998	10523	5
1999	10529	0
