iter	Passed	Remaining
422	2137	7969
423	2142	7963
424	2147	7957
425	2152	7951
426	2157	7946
427	2161	7940
428	2166	7934
429	2171	7929
430	2176	7923
431	2181	7917
432	2186	7911
433	2191	7906
434	2195	7900
435	2200	7894
436	2205	7889
437	2210	7884
438	2215	7878
439	2220	7873
440	2225	7867
441	2230	7862
442	2235	7857
443	2240	7852
444	2246	7849
445	2251	7846
446	2257	7843
447	2262	7839
448	2267	7834
449	2273	7829
450	2278	7824
451	2283	7819
452	2288	7814
453	2293	7809
454	2298	7804
455	2303	7798
456	2308	7793
457	2313	7788
458	2318	7783
459	2323	7778
460	2328	7773
461	2333	7767
462	2338	7762
463	2343	7756
464	2348	7751
465	2353	7747
466	2358	7743
467	2364	7739
468	2372	7743
469	2381	7752
470	2388	7755
471	2398	7765
472	2406	7770
473	2416	7779
474	2426	7791
475	2434	7794
476	2443	7803
477	2450	7801
478	2457	7802
479	2464	7805
480	2475	7816
481	2482	7818
482	2491	7826
483	2499	7828
484	2508	7836
485	2515	7837
486	2524	7843
487	2531	7843
488	2540	7850
489	2547	7850
490	2556	7857
491	2564	7859
492	2572	7865
493	2581	7868
494	2589	7873
495	2597	7875
496	2605	7880
497	2614	7884
498	2622	7889
499	2630	7891
500	2639	7896
501	2646	7897
502	2654	7901
503	2662	7904
504	2672	7910
505	2680	7914
506	2689	7920
507	2697	7922
508	2707	7930
509	2715	7933
510	2723	7935
511	2731	7938
512	2739	7941
513	2748	7945
514	2756	7947
515	2766	7955
516	2773	7955
517	2782	7962
518	2790	7961
519	2799	7966
520	2806	7967
521	2815	7972
522	2823	7973
523	2831	7976
524	2840	7979
525	2848	7983
526	2856	7984
527	2865	7987
528	2873	7989
529	2881	7993
530	2890	7995
531	2898	7999
532	2906	7999
533	2914	8002
534	2922	8002
535	2931	8005
536	2939	8007
537	2947	8010
538	2953	8006
539	2961	8006
540	2967	8002
541	2972	7995
542	2977	7990
543	2982	7983
544	2987	7976
545	2993	7970
546	2998	7964
547	3003	7957
548	3008	7951
549	3013	7943
550	3018	7936
551	3023	7930
552	3027	7923
553	3033	7916
554	3038	7910
555	3043	7903
556	3048	7896
557	3052	7889
558	3057	7882
559	3062	7875
560	3067	7869
561	3072	7862
562	3077	7855
563	3082	7848
564	3087	7841
565	3092	7834
566	3097	7827
567	3102	7820
568	3107	7814
569	3112	7807
570	3116	7800
571	3121	7793
572	3126	7786
573	3131	7779
574	3136	7773
575	3141	7766
576	3146	7759
577	3151	7752
578	3156	7745
579	3161	7739
580	3166	7732
581	3170	7725
582	3175	7718
583	3180	7712
584	3185	7705
585	3190	7699
586	3195	7692
587	3200	7685
588	3205	7679
589	3210	7672
590	3215	7665
591	3220	7659
592	3225	7652
593	3230	7646
594	3235	7640
595	3240	7633
596	3245	7626
597	3250	7620
598	3255	7613
599	3259	7606
600	3264	7599
601	3269	7593
602	3274	7586
603	3279	7579
604	3284	7573
605	3289	7567
606	3294	7560
607	3299	7553
608	3303	7546
609	3308	7539
610	3313	7533
611	3318	7526
612	3323	7520
613	3328	7514
614	3333	7507
615	3338	7500
616	3343	7493
617	3348	7487
618	3353	7480
619	3358	7474
620	3363	7468
621	3368	7461
622	3373	7455
623	3377	7448
624	3383	7442
625	3388	7436
626	3393	7430
627	3398	7424
628	3403	7418
629	3408	7412
630	3413	7405
631	3418	7399
632	3423	7392
633	3428	7386
634	3433	7380
635	3438	7374
636	3443	7367
637	3448	7361
638	3453	7355
639	3458	7349
640	3463	7343
641	3468	7337
642	3473	7331
643	3478	7324
644	3484	7319
645	3489	7314
646	3494	7308
647	3500	7303
648	3507	7301
649	3512	7295
650	3517	7289
651	3523	7283
652	3528	7277
653	3533	7271
654	3538	7265
655	3543	7259
656	3548	7253
657	3553	7248
658	3559	7242
659	3564	7236
660	3569	7230
661	3574	7224
662	3579	7218
663	3584	7213
664	3589	7206
665	3595	7201
666	3600	7195
667	3605	7189
668	3610	7183
669	3615	7177
670	3621	7172
671	3627	7168
672	3632	7162
673	3638	7157
674	3644	7153
675	3653	7156
676	3662	7157
677	3672	7160
678	3680	7161
679	3691	7164
680	3701	7169
681	3709	7167
682	3718	7169
683	3726	7169
684	3736	7172
685	3744	7172
686	3753	7174
687	3761	7172
688	3771	7175
689	3778	7173
690	3788	7176
691	3799	7182
692	3807	7180
693	3817	7183
694	3824	7181
695	3834	7183
696	3842	7182
697	3852	7185
698	3861	7188
699	3869	7186
700	3879	7189
701	3887	7188
702	3897	7190
703	3904	7188
704	3913	7188
705	3921	7188
706	3931	7190
707	3939	7189
708	3948	7190
709	3957	7190
710	3965	7188
711	3975	7191
712	3982	7189
713	3989	7186
714	3997	7184
715	4006	7185
716	4014	7183
717	4023	7183
718	4030	7180
719	4038	7180
720	4043	7173
721	4048	7166
722	4053	7160
723	4059	7153
724	4063	7147
725	4069	7141
726	4074	7134
727	4079	7127
728	4084	7120
729	4089	7114
730	4094	7107
731	4099	7100
732	4104	7094
733	4109	7087
734	4113	7080
735	4118	7073
736	4123	7066
737	4128	7059
738	4133	7053
739	4138	7045
740	4142	7039
741	4147	7032
742	4152	7025
743	4157	7018
744	4162	7011
745	4167	7004
746	4171	6997
747	4176	6991
748	4181	6984
749	4186	6977
750	4191	6971
751	4196	6964
752	4201	6957
753	4206	6951
754	4211	6945
755	4216	6938
756	4221	6932
757	4226	6925
758	4231	6919
759	4236	6912
760	4241	6906
761	4246	6899
762	4251	6893
763	4257	6887
764	4262	6881
765	4267	6874
766	4272	6868
767	4277	6861
768	4282	6855
769	4287	6848
770	4292	6841
771	4297	6835
772	4301	6828
773	4306	6821
774	4311	6815
775	4316	6808
776	4321	6801
777	4326	6795
778	4330	6788
779	4335	6781
780	4340	6775
781	4345	6768
782	4350	6762
783	4356	6756
784	4360	6749
785	4366	6743
786	4370	6736
787	4375	6730
788	4380	6723
789	4385	6717
790	4390	6710
791	4395	6704
792	4400	6698
793	4406	6692
794	4411	6685
795	4415	6679
796	4420	6672
797	4426	6667
798	4431	6660
799	4436	6654
800	4441	6647
801	4446	6641
802	4451	6635
803	4456	6628
804	4461	6622
805	4466	6616
806	4471	6609
807	4476	6603
808	4481	6596
809	4485	6590
810	4490	6584
811	4496	6577
812	4500	6571
813	4505	6564
814	4510	6558
815	4515	6552
816	4520	6546
817	4525	6539
818	4530	6533
819	4535	6526
820	4540	6520
821	4545	6513
822	4550	6507
823	4555	6501
824	4560	6494
825	4565	6488
826	4570	6482
827	4575	6475
828	4579	6468
829	4584	6462
830	4589	6456
831	4594	6450
832	4599	6443
833	4604	6437
834	4609	6431
835	4614	6425
836	4619	6419
837	4624	6412
838	4629	6406
839	4634	6400
840	4639	6394
841	4644	6388
842	4649	6381
843	4654	6375
844	4659	6369
845	4664	6362
846	4669	6356
847	4674	6350
848	4679	6343
849	4684	6337
850	4689	6331
851	4694	6324
852	4699	6318
853	4705	6313
854	4710	6307
855	4715	6301
856	4720	6295
857	4725	6289
858	4730	6282
859	4735	6276
860	4739	6270
861	4744	6263
862	4749	6257
863	4754	6251
864	4759	6244
865	4764	6238
866	4768	6232
867	4773	6225
868	4778	6219
869	4783	6213
870	4788	6207
871	4793	6200
872	4798	6194
873	4803	6188
874	4808	6182
875	4813	6176
876	4818	6170
877	4823	6163
878	4828	6157
879	4833	6151
880	4838	6145
881	4843	6139
882	4848	6133
883	4853	6126
884	4858	6120
885	4863	6114
886	4867	6108
887	4872	6102
888	4877	6095
889	4882	6089
890	4887	6083
891	4892	6077
892	4897	6071
893	4902	6065
894	4908	6060
895	4913	6054
896	4918	6047
897	4923	6042
898	4928	6036
899	4933	6030
900	4938	6024
901	4943	6018
902	4948	6012
903	4954	6006
904	4959	6000
905	4963	5994
906	4968	5987
907	4974	5982
908	4979	5975
909	4984	5969
910	4989	5963
911	4994	5957
912	4998	5951
913	5004	5945
914	5009	5939
915	5013	5933
916	5018	5927
917	5023	5921
918	5028	5915
919	5033	5909
920	5039	5903
921	5044	5897
922	5049	5892
923	5054	5886
924	5060	5880
925	5065	5874
926	5070	5868
927	5075	5863
928	5080	5857
929	5085	5851
930	5090	5845
931	5096	5839
932	5101	5833
933	5106	5828
934	5111	5822
935	5116	5816
936	5121	5810
937	5126	5804
938	5132	5798
939	5137	5792
940	5142	5787
941	5147	5781
942	5152	5775
943	5157	5769
944	5162	5763
945	5167	5757
946	5173	5752
947	5178	5746
948	5183	5740
949	5188	5734
950	5193	5728
951	5198	5723
952	5203	5717
953	5208	5711
954	5213	5705
955	5219	5699
956	5224	5693
957	5229	5687
958	5234	5682
959	5242	5679
960	5248	5674
961	5253	5668
962	5258	5662
963	5263	5656
964	5267	5650
965	5273	5644
966	5278	5638
967	5283	5632
968	5288	5626
969	5293	5620
970	5298	5614
971	5303	5608
972	5308	5602
973	5313	5596
974	5318	5591
975	5323	5585
976	5328	5579
977	5333	5573
978	5338	5567
979	5344	5562
980	5349	5556
981	5354	5550
982	5359	5545
983	5364	5539
984	5369	5533
985	5375	5527
986	5380	5521
987	5385	5516
988	5391	5511
989	5396	5505
990	5401	5499
991	5406	5493
992	5411	5488
993	5417	5482
994	5422	5477
995	5427	5471
996	5432	5465
997	5438	5459
998	5443	5454
999	5448	5448
1000	5453	5442
1001	5458	5437
1002	5464	5431
1003	5469	5425
1004	5474	5419
1005	5479	5414
1006	5484	5408
1007	5489	5402
1008	5494	5396
1009	5500	5391
1010	5505	5385
1011	5510	5379
1012	5515	5374
1013	5520	5368
1014	5526	5362
1015	5530	5356
1016	5536	5350
1017	5540	5344
1018	5546	5339
1019	5551	5333
1020	5556	5327
1021	5561	5321
1022	5566	5316
1023	5571	5310
1024	5576	5304
1025	5582	5299
1026	5587	5293
1027	5592	5288
1028	5598	5282
1029	5602	5276
1030	5607	5270
1031	5612	5264
1032	5617	5258
1033	5622	5253
1034	5627	5247
1035	5632	5241
1036	5637	5235
1037	5642	5229
1038	5647	5223
1039	5653	5218
1040	5658	5212
1041	5663	5206
1042	5668	5201
1043	5673	5195
1044	5678	5189
1045	5683	5183
1046	5688	5178
1047	5693	5172
1048	5699	5166
1049	5704	5160
1050	5709	5155
1051	5714	5149
1052	5718	5143
1053	5723	5137
1054	5729	5131
1055	5734	5126
1056	5739	5120
1057	5744	5114
1058	5749	5109
1059	5755	5103
1060	5760	5097
1061	5765	5092
1062	5770	5086
1063	5775	5080
1064	5780	5075
1065	5785	5069
1066	5790	5063
1067	5795	5057
1068	5801	5052
1069	5806	5046
1070	5811	5040
1071	5816	5035
1072	5821	5029
1073	5826	5023
1074	5831	5018
1075	5837	5012
1076	5842	5006
1077	5847	5001
1078	5852	4995
1079	5858	4990
1080	5863	4984
1081	5868	4979
1082	5874	4973
1083	5879	4968
1084	5884	4962
1085	5890	4957
1086	5895	4951
1087	5900	4945
1088	5905	4940
1089	5910	4934
1090	5915	4928
1091	5920	4922
1092	5925	4917
1093	5931	4912
1094	5936	4906
1095	5941	4900
1096	5946	4895
1097	5952	4889
1098	5957	4883
1099	5962	4878
1100	5967	4872
1101	5972	4867
1102	5977	4861
1103	5983	4855
1104	5988	4850
1105	5993	4844
1106	5998	4838
1107	6003	4832
1108	6008	4827
1109	6013	4821
1110	6018	4815
1111	6022	4809
1112	6027	4803
1113	6032	4798
1114	6037	4792
1115	6042	4786
1116	6047	4780
1117	6052	4775
1118	6057	4769
1119	6062	4763
1120	6067	4757
1121	6072	4752
1122	6077	4746
1123	6082	4740
1124	6087	4734
1125	6092	4728
1126	6097	4723
1127	6102	4717
1128	6107	4711
1129	6112	4705
1130	6117	4700
1131	6122	4694
1132	6127	4688
1133	6132	4683
1134	6137	4677
1135	6142	4672
1136	6148	4666
1137	6152	4660
1138	6157	4654
1139	6162	4649
1140	6167	4643
1141	6172	4637
1142	6177	4631
1143	6182	4626
1144	6187	4620
1145	6192	4614
1146	6197	4608
1147	6202	4602
1148	6207	4597
1149	6211	4591
1150	6216	4585
1151	6221	4580
1152	6226	4574
1153	6231	4568
1154	6236	4562
1155	6241	4556
1156	6246	4551
1157	6251	4545
1158	6256	4539
1159	6261	4534
1160	6266	4528
1161	6271	4522
1162	6276	4516
1163	6281	4511
1164	6286	4505
1165	6291	4499
1166	6296	4494
1167	6301	4488
1168	6306	4482
1169	6311	4477
1170	6315	4471
1171	6320	4465
1172	6325	4459
1173	6330	4453
1174	6335	4448
1175	6341	4443
1176	6346	4437
1177	6351	4431
1178	6356	4426
1179	6361	4420
1180	6366	4415
1181	6372	4410
1182	6377	4404
1183	6382	4399
1184	6388	4393
1185	6393	4388
1186	6398	4382
1187	6403	4376
1188	6408	4371
1189	6413	4365
1190	6419	4360
1191	6424	4354
1192	6429	4349
1193	6434	4343
1194	6439	4337
1195	6444	4332
1196	6449	4326
1197	6454	4321
1198	6459	4315
1199	6464	4309
1200	6470	4304
1201	6475	4298
1202	6480	4293
1203	6485	4287
1204	6491	4282
1205	6495	4276
1206	6500	4270
1207	6505	4265
1208	6510	4259
1209	6514	4253
1210	6519	4247
1211	6524	4242
1212	6529	4236
1213	6534	4231
1214	6540	4225
1215	6545	4219
1216	6549	4214
1217	6555	4208
1218	6559	4202
1219	6564	4197
1220	6569	4191
1221	6574	4185
1222	6579	4180
1223	6584	4174
1224	6589	4168
1225	6594	4163
1226	6599	4157
1227	6604	4151
1228	6608	4145
1229	6613	4140
1230	6618	4134
1231	6623	4128
1232	6627	4123
1233	6633	4117
1234	6638	4111
1235	6643	4106
1236	6649	4101
1237	6654	4095
1238	6658	4089
1239	6664	4084
1240	6669	4078
1241	6674	4073
1242	6678	4067
1243	6683	4061
1244	6688	4056
1245	6693	4050
1246	6698	4044
1247	6703	4039
1248	6708	4033
1249	6713	4028
1250	6718	4022
1251	6723	4016
1252	6728	4011
1253	6732	4005
1254	6738	3999
1255	6743	3994
1256	6747	3988
1257	6752	3983
1258	6757	3977
1259	6762	3971
1260	6767	3966
1261	6772	3960
1262	6777	3955
1263	6782	3949
1264	6787	3943
1265	6792	3938
1266	6797	3932
1267	6802	3927
1268	6807	3921
1269	6812	3915
1270	6817	3910
1271	6822	3904
1272	6828	3899
1273	6833	3893
1274	6837	3888
1275	6842	3882
1276	6847	3876
1277	6852	3871
1278	6857	3865
1279	6862	3860
1280	6867	3854
1281	6872	3849
1282	6877	3843
1283	6882	3837
1284	6887	3832
1285	6892	3826
1286	6897	3821
1287	6902	3815
1288	6907	3810
1289	6912	3804
1290	6917	3798
1291	6922	3793
1292	6927	3787
1293	6932	3782
1294	6937	3776
1295	6942	3771
1296	6947	3765
1297	6952	3759
1298	6957	3754
1299	6961	3748
1300	6967	3743
1301	6972	3737
1302	6977	3732
1303	6982	3726
1304	6987	3721
1305	6992	3715
1306	6997	3709
1307	7002	3704
1308	7006	3698
1309	7011	3693
1310	7016	3687
1311	7021	3682
1312	7026	3676
1313	7031	3670
1314	7036	3665
1315	7041	3660
1316	7047	3654
1317	7052	3649
1318	7057	3643
1319	7062	3638
1320	7067	3632
1321	7072	3627
1322	7078	3621
1323	7083	3616
1324	7088	3611
1325	7093	3605
1326	7098	3600
1327	7103	3594
1328	7108	3589
1329	7114	3583
1330	7119	3578
1331	7124	3572
1332	7129	3567
1333	7134	3561
1334	7139	3556
1335	7144	3550
1336	7149	3545
1337	7154	3539
1338	7159	3534
1339	7165	3529
1340	7170	3523
1341	7175	3518
1342	7180	3512
1343	7185	3507
1344	7190	3501
1345	7195	3496
1346	7200	3490
1347	7206	3485
1348	7211	3480
1349	7216	3474
1350	7221	3469
1351	7226	3463
1352	7231	3458
1353	7236	3452
1354	7242	3447
1355	7247	3441
1356	7252	3436
1357	7257	3431
1358	7262	3425
1359	7268	3420
1360	7273	3414
1361	7278	3409
1362	7283	3403
1363	7288	3398
1364	7294	3393
1365	7299	3387
1366	7304	3382
1367	7309	3377
1368	7314	3371
1369	7319	3365
1370	7324	3360
1371	7329	3354
1372	7334	3349
1373	7339	3344
1374	7344	3338
1375	7349	3333
1376	7354	3327
1377	7359	3321
1378	7364	3316
1379	7369	3310
1380	7374	3305
1381	7379	3299
1382	7384	3294
1383	7389	3288
1384	7394	3283
1385	7399	3277
